trip_distance,trip_duration,total_amount_real,total_amount_predicho
3.8,24.75,21.95,21.52473645745622
4.3,18.133333333333333,17.3,19.523225812266947
1.88,8.9,12.25,11.099043024193563
3.3,10.25,15.36,14.256423354616725
0.68,6.466666666666667,6.3,7.863455996220026
3.34,24.75,17.8,20.69390018494509
0.3,2.85,4.8,5.589463617284092
5.03,16.916666666666668,23.5,20.307632825323235
1.11,9.766666666666667,10.8,10.088745891208617
0.66,4.9,6.8,7.139595164384818
1.3,17.316666666666666,15.35,13.74622691192829
0.86,5.9,6.8,7.939809719307289
2.34,13.066666666666666,12.8,13.75896843404265
0.29,2.8833333333333333,4.3,5.586034672284727
1.7,12.833333333333334,12.8,12.500593324075368
2.92,15.45,14.3,15.85278359028791
1.0,11.75,11.3,10.760714081502734
0.43,1.5333333333333334,5.3,5.246273005160182
0.9,6.483333333333333,8.75,8.268128830926877
0.6,4.233333333333333,6.35,6.738570953822336
1.79,10.15,11.8,11.485214842512335
2.0,23.683333333333334,17.3,17.80539118064545
2.82,22.066666666666663,21.84,18.576760559399904
4.71,23.03333333333333,19.8,22.414762619797177
1.09,11.266666666666667,11.16,10.711094664454144
1.4,10.083333333333334,11.16,10.751544750490275
1.32,4.933333333333334,7.3,8.346297311956015
1.9,25.33333333333333,21.35,18.3490938980506
2.49,10.366666666666667,14.16,12.844643544518675
5.93,15.716666666666669,20.3,21.40640438259603
1.3,15.05,13.55,12.75120242121644
5.84,18.216666666666665,20.8,22.341302942116187
1.38,8.466666666666667,8.3,10.005734849007009
1.0,5.133333333333334,7.3,7.856120531410057
0.8,10.483333333333333,10.56,9.843437821790634
0.95,6.233333333333333,7.8,8.248691773176937
2.35,13.15,14.75,13.813611874887478
0.6,2.2666666666666666,5.3,5.8752408809988195
0.6,5.366666666666666,6.8,7.23608319917826
1.8,9.866666666666667,12.85,11.378898439271424
1.94,16.3,16.62,14.455875280694183
1.5,13.316666666666666,12.43,12.351534502045208
0.9,16.416666666666668,15.35,12.628677334340566
1.1,8.2,8.8,9.382946717471475
1.4,7.933333333333334,9.3,9.807734755623887
0.6,13.633333333333333,10.8,10.864996047656769
0.67,4.083333333333333,5.8,6.799155351564646
1.69,9.6,9.8,11.063158495403044
2.9,8.366666666666667,10.8,12.707208740617247
1.4,14.416666666666666,12.95,12.65379745332175
1.59,5.45,8.8,9.060769133633759
0.97,15.983333333333333,11.3,12.564883670743896
0.54,4.066666666666666,5.3,6.557037439740409
1.3,14.766666666666667,11.3,12.626824359877457
3.6,18.65,16.3,18.48571679843209
1.42,27.716666666666665,17.3,18.528373295900646
1.65,8.533333333333333,11.16,10.522665043852255
0.5,4.816666666666666,8.15,6.814026852068969
2.6,11.883333333333333,13.55,13.70911022958844
1.07,5.083333333333333,8.76,7.960603068448479
0.6,3.966666666666667,6.96,6.621509249032706
0.96,3.7,6.35,7.154667235773528
2.7,19.5,19.56,17.233301753622907
2.06,7.583333333333333,9.8,10.846160702559992
0.8,6.4,6.8,8.050930467199436
1.43,11.833333333333334,10.3,11.573947162466421
3.3,23.53333333333333,21.96,20.087559524450135
2.0,12.733333333333333,11.3,12.998544927721298
1.1,6.916666666666667,9.3,8.819587263171385
2.0,14.533333333333331,13.8,13.788711435051297
3.3,15.966666666666669,14.8,16.765933651044403
2.05,10.716666666666669,10.3,12.203574075740068
1.7,14.35,11.3,13.166381770066383
0.9,3.983333333333333,7.55,7.1706753485241
2.1,10.633333333333333,10.3,12.257300583483648
1.7,15.566666666666666,14.15,13.70047579816907
1.14,4.7,8.76,7.918758474499863
1.1,8.583333333333334,9.8,9.551222918106568
1.7,13.3,13.3,12.70545130745722
0.8,5.616666666666666,6.3,7.707061709379899
0.86,3.85,6.8,7.039897863737013
0.8,6.4,8.8,8.050930467199436
2.3,9.35,11.3,12.055174291144919
1.0,13.483333333333333,10.8,11.521615162635324
1.3,13.366666666666667,11.3,12.012250409731905
0.82,9.966666666666669,10.38,9.652754084956864
4.2,11.0,15.3,16.211208628163686
0.51,2.7666666666666666,8.31,5.932176654596762
1.5,23.383333333333333,15.3,16.770613857853714
0.87,3.95,7.0,7.101857661131192
0.8,7.883333333333334,8.3,8.702086200091749
1.3,8.35,11.15,9.810027088377002
0.79,12.85,9.8,10.864298793700526
0.7,6.316666666666666,7.3,7.833732103471996
4.0,12.816666666666666,15.8,16.647458330081673
1.37,7.266666666666667,10.3,9.46089551935561
1.6,10.15,10.3,11.142043338649042
1.71,14.033333333333331,14.76,13.045432653726767
1.37,11.216666666666669,9.8,11.194872021551996
1.7,6.666666666666667,10.55,9.79354140081519
2.13,11.75,15.38,12.801681446584425
0.82,7.266666666666667,8.97,8.467504323961865
2.8,17.766666666666666,14.8,16.653017253470995
6.16,26.83333333333333,24.3,26.701832337269263
1.54,13.333333333333334,12.96,12.431097490986833
5.56,24.166666666666668,22.8,24.447515803488887
2.4,9.316666666666666,10.8,12.221158159026896
0.8,8.05,8.75,8.775249765585267
2.5,14.4,13.3,14.633263487559887
1.93,23.95,18.8,17.796021278748604
1.07,6.15,7.3,8.428849887606995
1.08,8.633333333333333,9.36,9.537048671558487
3.1,18.73333333333333,15.3,17.619215676275445
0.4,1.95,5.15,5.374996944599774
0.85,4.966666666666667,7.05,7.512032094445518
3.18,8.466666666666667,11.8,13.256833306659264
1.2,10.65,10.23,10.639067711206874
1.4,8.85,11.0,10.21013436583824
3.86,18.766666666666666,15.8,19.00653440482732
1.15,7.683333333333334,10.56,9.24644795493191
2.36,11.933333333333334,13.0,13.297579504882862
5.1,21.85,23.3,22.599705970617855
0.53,2.6,4.8,5.89513640529938
2.4,17.65,13.3,15.879336433702811
1.75,21.566666666666663,14.3,16.424672446426065
0.4,7.283333333333333,8.75,7.716231040392359
1.3,7.033333333333333,7.8,9.232034920978208
1.23,7.9,10.56,9.486053854858028
0.8,4.35,6.8,7.15101861162916
4.24,18.666666666666668,17.8,19.6489792732578
1.7,10.733333333333333,11.15,11.578732398857039
3.02,10.583333333333334,14.8,13.897024058857856
0.41,7.783333333333333,8.3,7.953783394970983
3.7,20.316666666666663,16.3,19.397969034347952
3.65,25.066666666666663,21.36,21.392822360422883
1.5,8.1,11.15,10.061514902098086
1.65,7.4,10.56,10.025152798496332
1.6,7.383333333333334,9.95,9.927528151456638
4.43,15.616666666666667,17.3,18.653257528589705
1.27,9.133333333333333,9.96,10.099710871902335
1.91,17.7,14.3,15.016264256545533
3.68,15.766666666666667,16.3,17.36448038017877
3.3,11.566666666666666,13.3,14.834415522015519
3.09,18.8,17.76,17.630419444374784
3.17,26.1,20.8,20.979476877775433
0.83,5.966666666666667,6.8,7.914890171210492
0.61,7.883333333333334,9.49,8.358914696228455
2.5,9.15,12.95,12.328611174514059
0.81,4.05,6.3,7.037385851838895
1.36,4.133333333333334,7.8,8.067358829979398
1.3,7.65,9.8,9.502740113304228
1.53,7.416666666666667,9.8,9.815729257868867
0.6,4.45,7.48,6.833683588963909
1.6,3.75,7.8,8.33256242369794
1.3,6.0,7.8,8.778420814918395
0.43,2.75,4.8,5.780367033262865
3.5,22.133333333333333,16.8,19.834218736265942
1.0,9.466666666666669,10.38,9.758373234241535
1.98,11.6,12.36,12.464909366169238
2.1,11.916666666666666,13.56,12.820660037783739
1.8,11.85,12.96,12.24954486864429
0.78,6.2,6.8,7.927010872411077
1.47,13.4,13.56,12.333931310497764
1.7,9.0,10.3,10.817831317724448
2.62,19.03333333333333,14.8,16.88395050545651
2.0,8.0,9.8,10.920699667705378
1.4,7.966666666666667,9.35,9.822367468722593
2.4,16.5,15.35,15.374507831797533
1.69,6.366666666666666,8.8,9.64378532482879
0.92,4.6,7.56,7.477503857046254
1.7,11.783333333333331,10.8,12.039662861466201
0.5,3.1333333333333333,5.3,6.075074840584434
1.1,6.366666666666666,8.75,8.578147497042774
5.03,17.083333333333332,18.8,20.38079639081675
0.64,6.716666666666667,6.3,7.900954712068031
2.68,18.683333333333334,17.76,16.838676966508533
0.9,10.15,8.8,9.877727271784277
0.96,4.1,5.8,7.330259792957971
0.76,4.85,6.96,7.298262675717442
1.0,6.15,8.5,8.30241828092052
2.1,15.533333333333331,12.8,14.408309408993087
1.5,9.45,12.05,10.654139782595585
2.6,14.233333333333333,15.95,14.740716503047047
1.08,4.85,8.84,7.87623573485562
1.6,19.383333333333333,13.8,15.195304866989957
1.5,20.9,18.35,15.680476732000294
0.8,5.5,7.3,7.655847213534436
0.94,5.233333333333333,7.24,7.79164872211776
1.2,7.583333333333333,10.35,9.292858106126136
1.64,18.2,15.36,14.748090184378249
0.84,11.833333333333334,10.3,10.508309334680405
1.7,11.433333333333334,9.8,11.886019373929813
2.72,13.85,15.36,14.789180199588774
0.8,5.783333333333333,8.5,7.780225274873417
0.2,2.583333333333333,4.3,5.291785331513782
1.0,11.716666666666669,11.75,10.746081368404031
3.6,23.183333333333334,21.3,20.475765779855788
0.71,6.1,8.76,7.756681126428489
0.5,2.7333333333333334,5.75,5.8994822833999905
1.43,9.316666666666666,11.16,10.469177323514295
0.67,4.15,6.36,6.828420777762053
2.75,16.416666666666668,17.16,15.970084082483158
2.34,15.7,12.8,14.914952768840237
1.19,11.2,11.16,10.862445819237418
0.39,1.2166666666666666,4.8,5.035015598330225
1.6,15.8,12.8,13.622288208879315
2.16,22.883333333333333,16.8,17.743192595845652
2.7,13.233333333333333,15.8,14.482351691066619
3.19,16.45,17.88,16.779429751896856
1.0,8.583333333333334,8.8,9.370606337125887
0.3,3.1333333333333333,5.75,5.713841678623073
1.04,7.0,9.96,8.747799097329736
2.9,21.95,21.6,18.670039328338987
1.6,12.833333333333334,10.8,12.319976743094688
1.06,9.066666666666666,9.96,9.691150625645498
0.42,1.4,5.16,5.169680494667299
0.3,2.316666666666667,4.8,5.355340207704833
1.4,13.833333333333334,12.95,12.397724974094437
0.6,3.0166666666666666,5.8,6.204476925719652
0.65,4.016666666666667,7.56,6.733766609171102
2.13,21.683333333333334,17.76,17.162229949998117
1.7,8.816666666666666,9.3,10.737351395681577
1.3,19.2,14.8,14.572975202005047
0.8,3.583333333333333,7.8,6.814466210358976
0.8,4.216666666666667,6.3,7.092487759234345
3.8,20.7,20.47,19.746861815963726
1.68,9.45,12.36,10.979249628360812
0.4,2.316666666666667,6.0,5.535956788685514
3.13,22.7,20.76,19.414693509315384
1.0,5.533333333333333,7.55,8.0317130885945
0.6,2.0,6.8,5.75817917620919
0.68,4.05,6.96,6.80258429656401
1.2,7.933333333333334,9.95,9.446501593662525
2.15,13.45,12.3,13.58407313081445
1.7,15.8,12.8,13.802904789859994
1.16,6.166666666666667,7.3,8.59872116703896
0.82,3.783333333333333,6.8,6.938385805147334
2.15,22.55,17.3,17.57880380676055
2.58,8.9,11.8,12.363359091058328
3.8,20.7,21.35,19.746861815963726
1.1,10.516666666666667,8.8,10.39992027783138
1.15,18.65,16.0,14.060610564405412
2.4,9.683333333333334,13.56,12.382118003112637
2.18,21.08333333333333,14.3,16.98914940471179
0.85,7.05,10.38,8.426576663114496
3.2,10.166666666666666,15.35,14.039224990889284
1.81,5.45,10.38,9.458125611791257
0.6,5.916666666666667,6.3,7.47752296530687
1.72,6.833333333333333,10.56,9.902828282504846
0.9,5.633333333333334,8.76,7.8949946469099315
1.2,14.833333333333334,10.8,12.475473205094186
2.2,9.266666666666667,10.3,11.837975927417482
2.9,9.916666666666666,14.15,13.387629899706965
0.71,3.733333333333333,7.56,6.7177584964205295
2.0,28.616666666666667,18.3,19.971032719253593
1.3,22.666666666666668,15.3,16.09477736427023
3.16,13.883333333333333,15.96,15.598525869002472
2.68,10.933333333333334,11.8,13.436571171059931
2.6,17.95,17.88,16.372264013552506
0.6,3.2666666666666666,5.3,6.314222273959929
1.2,9.3,11.15,10.046442830709378
2.78,16.816666666666666,15.2,16.199861613961808
1.6,9.433333333333334,10.3,10.827440007026915
0.8,5.683333333333334,7.3,7.736327135577307
2.06,15.016666666666667,14.16,14.109255723570907
2.08,13.85,14.76,13.633234081312416
2.8,10.566666666666666,14.39,13.492351224151005
3.5,11.1,16.55,14.990790700595031
0.6,6.75,8.75,7.8433407927744625
2.5,20.616666666666667,12.8,17.362264480468117
0.55,5.65,6.3,7.270152970026901
1.4,7.933333333333334,11.6,9.807734755623887
2.55,13.033333333333331,14.76,14.123630541003376
0.79,4.183333333333334,7.56,7.059793388037574
0.82,7.45,9.12,8.547984246004738
1.32,4.383333333333334,6.8,8.104857545827404
1.5,12.183333333333334,12.7,11.854022256689287
0.8,6.633333333333334,8.8,8.15335945889036
1.16,9.183333333333334,9.3,9.922981702471642
0.79,6.75,9.75,8.186512296637755
1.9,19.08333333333333,13.8,15.605460192043662
0.66,5.666666666666667,7.56,7.476147565655002
1.11,12.55,12.25,11.310577434950371
4.3,16.383333333333333,18.3,18.755008374585007
2.3,10.833333333333334,14.15,12.706330024037232
2.45,13.9,15.36,14.32346450058899
1.3,21.6,14.8,15.62653054511171
0.5,2.3833333333333333,5.3,5.745838795863602
0.92,6.966666666666667,7.3,8.516426487054215
2.3,15.916666666666666,15.96,14.93781877158954
1.6,11.05,12.95,11.537126592314042
1.17,3.283333333333333,7.8,7.351053142099161
2.41,14.566666666666666,12.8,14.54387213017079
3.2,15.55,17.75,16.402408156329926
1.5,10.883333333333333,12.85,11.283346445839843
1.11,7.8,7.8,9.225415818385098
0.93,10.7,9.3,10.173352012207094
2.0,0.1833333333333333,3.8,7.48932844605937
4.0,16.733333333333334,21.35,18.366802119179354
5.01,24.25,24.36,23.4907063908419
1.89,5.916666666666667,8.8,9.807476859957653
1.54,8.066666666666666,8.8,10.119128821391655
1.2,6.2,8.15,8.685600512529936
2.0,16.316666666666666,15.96,14.571561585831944
0.75,5.2,7.56,7.433844505155763
1.29,5.916666666666667,8.3,8.723777374073567
2.7,17.8,14.3,16.487033385589022
0.7,6.683333333333334,7.3,7.994691947557736
0.21,7.916666666666667,7.3,7.651081085404436
1.37,10.433333333333334,9.8,10.851003263732458
1.26,12.966666666666669,10.8,11.76441122015519
0.54,6.133333333333334,7.88,7.464265651860036
1.43,6.183333333333334,9.96,9.093702292236149
0.4,7.8,8.15,7.943038093422266
1.17,7.266666666666667,7.8,9.099662357394248
1.1,17.516666666666666,13.3,13.47279002855915
2.57,8.616666666666667,14.12,12.220919371621278
0.89,5.05,6.8,7.620860509584549
3.08,15.9,14.3,16.3393117466895
2.47,12.033333333333331,11.8,13.540155883257722
0.8,3.5,5.8,6.777884427612216
0.37,0.9333333333333332,4.3,4.874514220795108
